ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
TESLA,-0.3586,0.5071,2,-0.7171,0.0,0.8016,0.0577,0.3662,0.5761,negative,2019-03-21,0.15350810461096653
TESLA,-0.8019,,1,-0.8019,-0.8019,0.8019,0.0429,0.8019,0.1551,negative,2019-03-25,-1.5536892576059724
TESLA,0.0,,1,0.0,0.0,0.718,0.0679,0.214,0.718,neutral,2019-03-26,2.8223624718877183
TESLA,0.7849,,1,0.7849,0.7849,0.7849,0.7849,0.0098,0.2053,positive,2019-03-29,0.44504914783884963
TESLA,0.0,,1,0.0,0.0,0.7734,0.2078,0.0187,0.7734,neutral,2019-04-02,-1.141164041935283
TESLA,-0.4873,0.6891,2,-0.9745,0.0,0.9338,0.0521,0.4931,0.4548,negative,2019-04-03,2.0743017324461155
TESLA,-0.7038,0.3903,6,-0.972,0.0,0.8278,0.0256,0.7421,0.2323,negative,2019-04-04,-8.234816239503528
TESLA,-0.3831,0.5418,2,-0.7663,0.0,0.7368,0.0219,0.5192,0.4589,negative,2019-04-05,2.681314318395822
TESLA,0.0,,1,0.0,0.0,0.8129,0.1687,0.0184,0.8129,neutral,2019-04-08,-0.6400987082007537
TESLA,0.0,,1,0.0,0.0,0.4691,0.2605,0.2704,0.4691,neutral,2019-04-10,1.3771070245990558
TESLA,0.3523,0.4144,4,0.0,0.8013,0.7551,0.4389,0.0165,0.5446,neutral,2019-04-12,-0.268238221889483
TESLA,-0.468,0.6619,2,-0.9361,0.0,0.8243,0.1462,0.4717,0.3821,negative,2019-04-17,-0.7791933226055425
TESLA,0.0,,1,0.0,0.0,0.8977,0.0862,0.0161,0.8977,neutral,2019-04-18,0.7484354720840525
TESLA,-0.0741,0.5077,5,-0.8888,0.5182,0.8144,0.1369,0.2201,0.643,neutral,2019-04-22,-3.846152638080802
TESLA,0.3485,0.4928,2,0.0,0.697,0.8161,0.3632,0.0262,0.6106,neutral,2019-04-23,0.4376739071872082
TESLA,-0.0055,0.7857,4,-0.9733,0.9512,0.9029,0.3135,0.2532,0.4333,neutral,2019-04-24,-1.9855977462206353
TESLA,-0.0199,0.7637,4,-0.9746,0.8952,0.851,0.3376,0.2629,0.3995,neutral,2019-04-25,-4.26428039397303
TESLA,-0.3198,0.5538,3,-0.9593,0.0,0.9285,0.0421,0.3385,0.6194,neutral,2019-04-26,-5.043819414148287
TESLA,0.9134,,1,0.9134,0.9134,0.9134,0.9134,0.044,0.0426,positive,2019-04-29,2.6920128922461872
TESLA,-0.8603,,1,-0.8603,-0.8603,0.8603,0.0173,0.8603,0.1224,negative,2019-04-30,-1.1512753335668258
TESLA,0.347,0.6511,5,-0.608,0.9309,0.7617,0.4908,0.2083,0.3009,positive,2019-05-02,4.3117745928183515
TESLA,0.2502,0.6866,4,-0.608,0.8264,0.7766,0.4336,0.1862,0.3802,positive,2019-05-03,4.477682789311133
TESLA,0.0,,1,0.0,0.0,0.9453,0.0289,0.0259,0.9453,neutral,2019-05-08,-0.8985714919320764
TESLA,0.0,,1,0.0,0.0,0.9044,0.0861,0.0095,0.9044,neutral,2019-05-15,-0.154966432150061
TESLA,0.3355,0.4745,2,0.0,0.671,0.6543,0.5076,0.0194,0.4729,neutral,2019-05-16,-1.560679096708617
TESLA,-0.9546,,1,-0.9546,-0.9546,0.9546,0.009,0.9546,0.0364,negative,2019-05-20,-2.686823480397693
TESLA,0.0,0.0,2,0.0,0.0,0.8229,0.1142,0.0629,0.8229,neutral,2019-05-21,-0.13634997375607805
TESLA,-0.9698,,1,-0.9698,-0.9698,0.9698,0.0085,0.9698,0.0217,negative,2019-05-22,-6.022036210467108
TESLA,0.8834,,1,0.8834,0.8834,0.8834,0.8834,0.0201,0.0965,positive,2019-05-23,1.4320552722358215
TESLA,0.0,,1,0.0,0.0,0.9304,0.0571,0.0125,0.9304,neutral,2019-05-28,-1.0124341109633561
TESLA,-0.3863,0.5463,2,-0.7726,0.0,0.7446,0.1099,0.4364,0.4538,negative,2019-05-29,0.6147333130873456
TESLA,0.0,,1,0.0,0.0,0.3953,0.3067,0.298,0.3953,neutral,2019-05-30,-0.8637920413351985
TESLA,0.0,,1,0.0,0.0,0.5422,0.3287,0.1292,0.5422,neutral,2019-05-31,-1.6257608189742534
TESLA,0.6756,,1,0.6756,0.6756,0.6756,0.6756,0.1355,0.1889,positive,2019-06-04,8.174561896341825
TESLA,0.0,,1,0.0,0.0,0.8636,0.0357,0.1007,0.8636,neutral,2019-06-07,-0.7040519976872828
TESLA,-0.9686,,1,-0.9686,-0.9686,0.9686,0.007,0.9686,0.0244,negative,2019-06-10,4.09780333593881
TESLA,0.0,,1,0.0,0.0,0.5758,0.0423,0.3819,0.5758,neutral,2019-06-11,1.982334850283829
TESLA,0.0,,1,0.0,0.0,0.7,0.0561,0.2439,0.7,neutral,2019-06-12,-3.6112342922131058
TESLA,0.0,,1,0.0,0.0,0.8997,0.0893,0.011,0.8997,neutral,2019-06-13,2.2221120858935794
